cnae,description,segment,fit,note
1011201,FRIGORÍFICO - ABATE DE BOVINOS,Alimentos,compatible,
1011202,FRIGORÍFICO - ABATE DE EQÜINOS,Alimentos,compatible,
1011203,FRIGORÍFICO - ABATE DE OVINOS E CAPRINOS,Alimentos,compatible,
1011204,FRIGORÍFICO - ABATE DE BUFALINOS,Alimentos,compatible,
1011205,MATADOURO - ABATE DE RESES SOB CONTRATO - EXCETO ABATE DE SUÍNOS,Alimentos,compatible,
1012101,ABATE DE AVES,Alimentos,compatible,
1012102,ABATE DE PEQUENOS ANIMAIS,Alimentos,compatible,
1012103,FRIGORÍFICO - ABATE DE SUÍNOS,Alimentos,compatible,
1012104,MATADOURO - ABATE DE SUÍNOS SOB CONTRATO,Alimentos,compatible,
1013901,FABRICAÇÃO DE PRODUTOS DE CARNE,Alimentos,compatible,
1013902,PREPARAÇÃO DE SUBPRODUTOS DO ABATE,Alimentos,check,"abattoir by-products, not food for the table"
1020101,"PRESERVAÇÃO DE PEIXES, CRUSTÁCEOS E MOLUSCOS",Alimentos,compatible,
1020102,"FABRICAÇÃO DE CONSERVAS DE PEIXES, CRUSTÁCEOS E MOLUSCOS",Alimentos,compatible,
1031700,FABRICAÇÃO DE CONSERVAS DE FRUTAS,Alimentos,compatible,
1032501,FABRICAÇÃO DE CONSERVAS DE PALMITO,Alimentos,compatible,
1032599,"FABRICAÇÃO DE CONSERVAS DE LEGUMES E OUTROS VEGETAIS, EXCETO PALMITO",Alimentos,compatible,
1033301,"FABRICAÇÃO DE SUCOS CONCENTRADOS DE FRUTAS, HORTALIÇAS E LEGUMES",Alimentos,compatible,
1033302,"FABRICAÇÃO DE SUCOS DE FRUTAS, HORTALIÇAS E LEGUMES, EXCETO CONCENTRADOS",Alimentos,compatible,
1041400,"FABRICAÇÃO DE ÓLEOS VEGETAIS EM BRUTO, EXCETO ÓLEO DE MILHO",Alimentos,check,"crude vegetable oil, an industrial input"
1042200,"FABRICAÇÃO DE ÓLEOS VEGETAIS REFINADOS, EXCETO ÓLEO DE MILHO",Alimentos,compatible,
1043100,FABRICAÇÃO DE MARGARINA E OUTRAS GORDURAS VEGETAIS E DE ÓLEOS NÃO COMESTÍVEIS DE ANIMAIS,Alimentos,compatible,
1051100,PREPARAÇÃO DO LEITE,Alimentos,compatible,
1052000,FABRICAÇÃO DE LATICÍNIOS,Alimentos,compatible,
1053800,FABRICAÇÃO DE SORVETES E OUTROS GELADOS COMESTÍVEIS,Alimentos,check,ice cream only
1061901,BENEFICIAMENTO DE ARROZ,Alimentos,compatible,
1061902,FABRICAÇÃO DE PRODUTOS DO ARROZ,Alimentos,compatible,
